sentimen,Tweet
-1,lagu bosan apa aku save huhuhuhuhuhuhuhuhuhuuuuuuuuuuuuuu
-1,lanjut diam hingga kau aku erti semua sama libat hati
1,doa rezeki tak putus inna haa zaa larizquna maa lahu min fadesungguhnya ialah beri kepada kamu
1,makasih loh ntar bagi hasil aku sisa buat kamu
-1,aku tak faham betul jenis orang malaysia tak ret nak sangkut balik hose aku geli bodoh nak pegang
0,barusan liat tulis belakang truk rela injek kopling kamu shopping
-1,cerita macam mamat hari2 aku nampak keluar masuk cimb ceria hari aku tengok muka masam aku
1,aku jadi satu satu bukan nomor satu satu satu
-1,aku aja capek sama diri sendiri kamu maaf
-1,aku cuba nak amal sikap pergi mampus sayang aku gagal aku jenis mudah kesi mudah maaf
0,her lho miss kevin sama keven rebut gimbot wis aku beli nunjuk the twins asik main ipad masin
0,iya rep gatau aku kelas ehh block
0,aku mohon tepat janji penantiancintaeps19
0,bukan ria kahwin sbb gatal celah kangkang penat bila balik org anggap aku bujang takde kerja and ser
0,aku ingat habanero paling pedas rupa kali ganda pedas gila
0,aku tengok drama cinta bukan kristalatu conversation anak bapak bapak iyeee sekarang semua perempuan
1,dont know why but these zikir sangat bantu aku pon hasil orang retweetambil usaha doa insha alla
-1,commitmentetakat hulu hilir together tak put effort nak kahwin baik tinggal bazir masa
1,aah kamu aja mas aku lebih suka ayom
0,aku butuh interaksi 95l 99l yuk line segitu kuy mutualan follow auto followback aja
0,kau dah tak streak aku
0,lama nunggun video aku nih retweet mau full
1,mau bantu aku nabung
-1,kamu jahat dubu
0,tak kisah ade kawan perempuan aku ade kawan laki kalau over nak ngadu nak cite ini send
0,high
0,malam undang opening hungerbelt spazio teman aku laaaahhh siiisssss
-1,aku nak tanya lah apa asa korang bila simpan duit tabung kemudian anai2 makan duit
1,tak peduli apa hidup kamu selalu punya pilih lihat sisi baik sisi buruk
1,aku dah tahu macam mana nak pengantin gelak natural hahahahahahahahahahaha
0,aku tambah
1,cara nak mintak maaf aku minta maaf aku aku salah aku apa boleh aku buat betul
0,benar ramai sifu2 property approach aku utk join kelas investment etcemua cerita beli rumah murah sewa
-1,kalo gebetan kamu ngga pernah buang ludah jalan pacarin
-1,jangan dekat aku aku tengah susah aku senang aku panggil
1,yuk netweetjen bantu
1,allah tuhan kau lindung dua ibu bapa saat aku jauh mereka
0,lecturer aku suruh tampal note kat tempat aku selalu tengok tak aku nak tampal kat muka crush pulak
0,20thn aku ken nikah umur orang gin gin gin 23thn blm nglamar 24thn
0,dengar bual budak sekolah aku amik level aku amik asasi asasi matrik kan
0,cara outin diri sendiri gimana sih bisa outin aku aku bayar deh
1,giveaway hari umur aku tambah jadi aku bagi rules aja ucap wish screenshoo
1,selamat hari jumat buat kamu selalu bikin rindu kumat
-1,kesi belakang laki and girl goes like mesti tak attention buat camtuh men are
1,diremes enyot ngedusel dusel nenen kamu wah mantap
0,mana gampaang aku nanya dulu tauu
-1,idm hallo ami tolobg bantu huhu aku masalah album sampe sampe
-1,takde takpe imaginary also can lepastu lama lama aku jadi gila sekian
1,rakyat2 akhirnyauga postelca aku mau give away album love yourself answerealed versionnya pilihendiri
0,makan tido makan tido hari aku reput kat rumah hadap orang haih
-1,tahun jadi bestfriend but gaduh sikit bulan tak tegur malam tadi aku koyak sikit pastu post gambar tetib
0,threado promised aku citer alam aku ambik teh kurus pil kurus was 2013 2014 mcm tuince everyone was
0,makanya tadi aku kaget lihat teman kabar nya udah meni hati kamu kapan taaruf kok cium kabar
-1,pacar kamu sibuk kok tumben komen wassap story aku
-1,kucin datang bawah meja mintak makan kau lah apa ada jangan sepak2 pulak tak datang ekor datang ber
-1,lepas tidak mau kamuadarlah jangan batu
-1,belum kau nak kacau orang aku sayang kau fikir dulu mcm mana asa kau bila orang kacau buah hati kau
-1,biasa perempuan kena jaga jaga muka malaikat kadang2 perangai syaitan jugak aku pernah gak camni lari laju teruk
1,pilih salah satu paling kamu nyaman
1,aku sendiri jugaaa yuk bareng
-1,aku benci soal bala dgn amelia takde duit pinjam pinjam lak tul pastu aku lak aku kena kire
0,aku dong mbak link kalo jepang main
-1,birthday abang aku ajak pergi makan aku tolak kerja balik lambat nak ajak per
1,mini giveaway hubung aku ultah aku mau rezeki pulsa 10k like aja mau mutualan bgt doain aku yaa undi
1,mantan kamu brengsek jangan dilupain justru jadi ingat kamu pernah salah pilih bego bego
1,aryana bukak mata besar besar pilih syafiq biar sofea bahagia sama adrian pls laaaaaaaa murung aku kal
0,hyung kamu kanibal kan
1,buat cita cita kamu setinggi bintang langit jangan lupa buat anak tangga rencana cendekiabijak
-1,kamu laku laku unn
-1,aku try lupa benda akhir benda buat aku jadi down allah tlg laa hilang kecewa
0,jajanin aku kak
-1,iyaaaa kasi donghae nya aku lelep
0,tiga aku satu aja gapunya
0,semua aku adain give away nih give away nya album bts love yourself answers yey cukup follow retwee
1,cantik confess kat crush peluang kena reject nipis sel epidermis bawang tang aku kalau confess hmm
0,aku rumah aja anagram besok malam minggu
0,jumat malam sama kawan mobil tuju sebwah apartemen diurabaya barat gaes sorry aku
-1,aku pernah dah kek gitu gaada hasil percumaa
-1,kira aku introvert nyata karna nga punya uang aja jadi males mana mana
1,cnta kmu aku tuh kyk fto albm tau dbalk2 ttp brbh sma prnh brbh untk mnjdi trbaik untk aku
1,yang buat aku makin yakin indonesia damai pimpin beliau
-1,aku fakap betul kalau nak pergi makan ramai2 nak happy2 tetibe yang badmood woiiii nak makan woiii
-1,kalau awek kamu bising nothing wrong once awek kamu dah senyap everything wrong perhaps dah someone
-1,pernah abis aku berani bawa motor lama beberapa hari pas mau bawa motor gemeteran gitu
1,aku walk ajelah senang
1,jadi aku
1,sentiasa ingat diri jangan selalu tunjuk gembira depan orang sedang kecewa moga aku sentiasa ingat
0,aku nang kampus ngopi ketemu wong2 podo kabeh takok lapo ubah sosyeti
-1,gipewei sedih nih aku seokjin fllw rep pict seokjin tag klo mau doain aku gpp gpp
1,temen temen jatinangor sekitar tolong beli jual bapak beliau jual kain lap keset
1,hahaa aku ngerti tadi asal jwb aja
1,kelak aku jadi orangtua akan laku yakin anak nak percaya sama ayah tidur siang men
-1,apa kamu kabul doa klosdonecepatnya okey kalo mau kamu
1,aku hibur hahahahahahahahahahahaha
0,kamu kan
0,adab betul budak pinjam buku aku
1,okay but the bahasa melayu names for our malaysian birds selalu buat aku mudah hibur contoh burung rek ber
-1,makin lama rasa apebende laa aku melalut better stop
1,iya lucu emang aku temenan
-1,dear makhluk hidup sekitar kalo mau tau tanyain lgsung aku aja gausah lewat orang lumayan kan gak
-1,member aku ade cite kat aku dibreak dgn die time cerita suddenly menang weyh tahun sama kot
-1,hati aku kecewa aku sedih aku aku sorang tahu orang tak tahu
0,popular weh sorry aku blur paham mksd
1,lhaa kaann ancene aku arek kurang pinter wayah aku konco terus yaa ambk arek sopo ngerti ciprat rejeki
1,give away time raya ulang tahun namjoon ulang tahun aku aku adain give away photocard juga album lov
